segdesc   = VCRC2L_F
2021-12-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
12/2023,5.263,6.070,5.980,7.160,6.060,7.784,7.331,5.944,4.761,5.196,4.715,5.059,7.271,8.482,8.143,6.475,6.848,5.270,5.774,6.227,4.328,6.069,7.385,5.648,5.072,5.831,3.378,5.019,5.055,6.282
1/2024,4.684,5.509,5.081,5.876,4.832,6.265,5.696,5.441,4.312,4.716,3.923,4.360,6.408,6.675,6.043,5.285,5.465,4.456,4.684,5.626,3.928,4.981,6.167,4.744,4.558,4.896,2.994,4.654,4.875,4.645
2/2024,4.003,4.747,5.976,6.390,4.040,5.222,5.120,5.114,3.656,4.211,3.913,3.867,5.463,5.535,6.046,4.296,4.927,3.769,3.974,4.419,3.563,4.961,7.395,5.556,4.632,4.572,2.567,4.113,4.304,3.783
3/2024,6.209,8.905,10.994,7.059,12.866,8.054,8.071,6.241,6.802,5.283,5.579,12.052,9.168,6.918,17.382,5.272,8.208,4.065,5.934,8.420,4.798,7.685,13.198,8.168,11.703,5.114,3.201,5.649,5.029,4.186
4/2024,17.562,27.700,18.870,18.513,25.490,15.325,16.506,26.900,29.033,16.499,16.388,37.944,30.715,26.766,27.441,14.103,17.134,14.212,15.043,34.101,9.515,21.110,18.533,18.137,26.412,13.312,19.357,13.218,17.505,9.328
5/2024,92.872,75.563,57.552,68.842,94.544,66.330,68.297,66.736,111.356,29.106,62.913,87.313,115.768,68.727,79.867,78.421,96.893,49.898,54.986,66.392,43.176,64.174,51.593,53.238,63.162,37.740,59.373,64.263,51.509,62.643
6/2024,109.878,69.297,128.457,35.650,122.033,59.456,106.882,31.838,68.323,12.853,43.445,51.307,111.377,36.101,60.529,102.590,51.615,66.567,98.069,31.729,34.326,78.351,94.795,79.541,80.697,12.645,130.362,40.686,46.609,104.964
7/2024,37.491,15.817,80.762,13.832,34.227,26.445,72.155,9.593,20.030,6.025,12.472,17.236,39.071,15.748,19.224,33.251,16.632,15.930,30.180,12.870,11.804,18.274,23.971,16.608,19.496,5.854,50.773,11.820,21.834,54.798
8/2024,16.505,9.495,23.229,8.025,24.720,13.035,44.113,7.382,21.595,4.896,9.747,7.747,19.884,12.037,28.820,14.057,7.290,12.150,11.621,7.448,10.396,12.260,11.418,12.665,11.281,4.322,12.180,7.220,12.885,32.966
9/2024,17.912,14.656,13.665,8.237,24.748,10.532,27.150,7.002,9.659,9.487,19.933,17.223,12.019,12.701,17.693,13.192,6.813,9.287,8.455,5.879,28.151,14.400,9.021,10.137,6.790,3.725,6.867,5.951,7.147,31.923
10/2024,10.504,11.737,12.212,12.901,28.088,10.049,12.137,7.530,7.115,10.441,9.630,21.010,21.000,34.986,16.094,10.057,7.502,12.140,11.132,5.146,17.521,24.328,9.555,9.511,7.904,4.602,5.943,5.301,16.949,16.844
11/2024,7.133,8.616,8.686,8.177,12.271,8.675,7.254,5.782,6.061,6.291,5.955,11.526,13.854,14.435,8.330,8.637,7.058,8.959,8.059,4.499,9.051,11.162,7.077,6.125,6.122,4.288,5.276,5.400,10.353,9.495
12/2024,6.071,6.039,7.120,6.148,7.701,7.514,6.008,4.868,5.206,4.892,5.095,7.377,8.380,8.268,6.502,6.811,5.282,5.851,6.156,4.375,6.127,7.376,5.738,5.075,5.823,3.452,5.009,5.085,6.300,6.930
1/2025,5.544,5.134,5.893,4.946,6.253,5.841,5.523,4.415,4.733,4.081,4.398,6.271,6.642,6.155,5.330,5.486,4.500,4.754,5.608,3.988,5.079,6.157,4.839,4.581,4.920,3.062,4.648,4.836,4.729,5.863
2/2025,4.606,5.740,6.240,4.016,5.053,5.046,5.024,3.621,4.084,3.937,3.781,5.229,5.345,5.958,4.197,4.794,3.688,3.899,4.267,3.479,4.895,7.174,5.506,4.512,4.470,2.538,3.976,4.172,3.746,4.867
3/2025,8.957,11.168,7.103,13.143,8.049,8.122,6.341,6.947,5.306,5.689,12.068,9.151,6.922,17.327,5.331,8.257,4.124,5.910,8.402,4.860,7.687,12.546,8.300,11.708,5.170,3.236,5.661,5.036,4.300,6.451
4/2025,27.771,17.994,18.470,25.800,15.251,16.094,26.774,29.198,16.396,16.005,37.864,30.705,26.667,26.184,14.146,17.126,14.266,14.893,34.018,9.587,21.295,18.547,18.207,26.384,13.326,17.952,13.222,17.507,9.459,10.970
5/2025,75.598,56.619,68.867,94.780,66.246,66.307,66.651,111.478,29.071,60.519,87.285,115.803,68.684,79.360,78.387,96.934,49.915,53.323,66.349,43.122,64.411,49.878,53.370,63.176,37.717,59.799,64.223,51.540,62.903,53.510
6/2025,69.263,126.536,35.657,122.054,59.414,106.464,31.860,68.343,12.858,45.951,51.311,111.340,36.034,61.791,102.589,51.626,66.522,98.301,31.681,34.333,78.388,95.812,79.566,80.681,12.666,127.796,40.670,46.538,105.057,111.365
7/2025,15.825,83.504,13.851,34.246,26.420,74.280,9.627,20.052,6.042,12.465,17.244,39.048,15.740,19.471,33.268,16.644,15.944,31.145,12.859,11.827,18.286,24.457,16.643,19.501,5.885,53.746,11.823,21.804,54.821,58.387
8/2025,9.505,23.646,8.043,24.747,13.028,44.488,7.413,21.626,4.908,9.802,7.751,19.876,12.030,28.886,14.068,7.300,12.168,11.985,7.439,10.416,12.273,11.537,12.705,11.284,4.347,12.517,7.220,12.873,32.994,18.905
9/2025,14.670,13.950,8.259,24.789,10.530,27.700,7.030,9.680,9.500,20.188,17.232,12.018,12.698,17.706,13.208,6.825,9.310,8.522,5.875,28.182,14.419,9.070,10.170,6.797,3.751,6.959,5.956,7.144,31.959,9.373
10/2025,11.750,12.408,12.922,28.113,10.050,12.523,7.564,7.134,10.453,9.926,21.020,21.000,34.985,16.468,10.070,7.515,12.164,11.056,5.143,17.545,24.349,9.563,9.542,7.911,4.630,5.997,5.305,16.948,16.866,13.538
11/2025,8.628,8.830,8.199,12.289,8.675,7.372,5.810,6.078,6.302,6.052,11.534,13.855,14.437,8.552,8.648,7.069,8.979,8.260,4.497,9.070,11.175,7.212,6.152,6.128,4.312,5.307,5.405,10.353,9.518,7.372
12/2025,6.049,7.222,6.166,7.718,7.514,6.067,4.892,5.222,4.903,5.161,7.383,8.380,8.270,6.582,6.822,5.293,5.870,6.257,4.372,6.143,7.388,5.779,5.101,5.828,3.474,5.039,5.089,6.300,6.949,6.020
1/2026,5.143,5.935,4.962,6.269,5.841,5.560,4.438,4.748,4.091,4.449,6.277,6.642,6.157,5.380,5.496,4.510,4.771,5.652,3.985,5.094,6.169,4.856,4.605,4.925,3.081,4.672,4.839,4.729,5.879,5.348
2/2026,5.750,6.246,4.029,5.066,5.046,5.060,3.640,4.097,3.946,3.771,5.232,5.346,5.960,4.229,4.803,3.696,3.915,4.294,3.477,4.910,7.187,5.420,4.537,4.474,2.555,3.989,4.175,3.746,4.881,4.477
3/2026,11.186,7.105,13.182,8.075,8.121,6.298,6.985,5.322,5.701,11.948,9.157,6.922,17.329,5.225,8.274,4.133,5.935,8.060,4.856,7.706,12.571,8.421,11.762,5.176,3.256,5.650,5.040,4.299,6.471,5.360
4/2026,18.017,18.278,25.845,15.281,16.093,25.458,29.259,16.412,16.016,37.360,30.722,26.670,26.185,13.738,17.142,14.292,14.921,33.658,9.583,21.326,18.560,17.964,26.438,13.331,17.998,12.120,17.511,9.457,11.004,12.202
5/2026,56.646,67.735,94.805,66.275,66.305,66.211,111.507,29.082,60.526,87.385,115.817,68.686,79.360,75.565,96.944,49.928,53.345,65.990,43.117,64.432,49.896,51.937,63.205,37.720,59.857,63.224,51.543,62.903,53.560,89.457
6/2026,126.542,35.873,122.061,59.422,106.463,33.568,68.353,12.867,45.955,50.358,111.342,36.034,61.792,104.182,51.632,66.528,98.312,32.291,34.330,78.395,95.818,80.314,80.692,12.668,127.808,42.034,46.541,105.057,111.379,110.502
7/2026,83.506,14.544,34.251,26.426,74.281,9.839,20.060,6.052,12.470,18.694,39.048,15.741,19.472,34.449,16.650,15.949,31.155,12.949,11.825,18.291,24.461,17.144,19.510,5.888,53.751,12.041,21.806,54.820,58.392,42.792
8/2026,23.648,8.054,24.752,13.033,44.488,7.370,21.637,4.916,9.807,7.889,19.876,12.031,28.888,14.412,7.304,12.174,11.994,7.489,10.414,12.278,11.540,12.639,11.292,4.349,12.521,7.323,12.876,32.994,18.910,24.130
9/2026,13.952,8.245,24.795,10.535,27.700,7.121,9.687,9.510,20.193,16.336,12.019,12.698,17.708,13.301,6.830,9.315,8.531,5.906,28.179,14.424,9.073,10.099,6.804,3.753,6.962,5.978,7.146,31.958,9.377,17.822
10/2026,12.409,13.053,28.117,10.056,12.523,7.574,7.140,10.462,9.930,21.698,21.001,34.986,16.469,10.073,7.520,12.169,11.067,5.168,17.543,24.355,9.566,9.910,7.918,4.633,6.000,5.328,16.950,16.866,13.543,14.357
11/2026,8.831,8.305,12.292,8.682,7.372,5.914,6.084,6.310,6.055,11.775,13.855,14.437,8.553,8.839,7.073,8.983,8.268,4.505,9.068,11.179,7.214,6.257,6.134,4.314,5.310,5.420,10.355,9.517,7.375,8.698
