segdesc   = YDLC2L_F
2024-01-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1/2026,20.371,25.608,24.069,30.661,35.164,32.153,29.244,28.461,21.698,20.740,18.264,24.024,29.995,25.933,25.980,21.633,27.270,26.008,29.400,34.110,19.259,23.150,28.560,21.818,24.059,27.642,19.277,27.034,26.090,21.934
2/2026,17.480,22.688,33.259,35.086,27.731,31.378,29.590,35.890,19.309,17.985,26.321,21.525,31.897,20.444,28.509,18.980,28.567,22.348,24.505,29.558,17.639,23.434,50.526,23.556,44.077,31.389,18.444,23.289,23.794,20.608
3/2026,44.731,75.464,93.144,66.535,84.019,81.749,86.227,63.533,48.098,28.479,55.923,104.434,52.328,41.679,136.437,27.443,94.407,35.879,59.434,95.057,39.194,66.432,99.460,65.499,150.919,56.990,31.677,62.908,45.399,64.671
4/2026,202.747,242.903,133.456,337.480,259.513,278.946,235.547,211.635,186.717,131.837,237.609,264.638,209.399,314.297,236.333,100.819,269.278,200.903,362.500,263.714,113.076,250.729,174.468,263.174,220.520,144.403,221.985,203.309,142.584,173.395
5/2026,703.313,457.752,725.123,795.569,950.604,689.770,631.122,545.410,464.161,204.809,611.392,443.591,576.274,666.660,433.674,628.722,759.420,440.867,909.659,250.435,354.417,592.373,383.582,651.205,483.961,392.397,489.189,567.591,438.744,364.280
6/2026,675.314,181.211,817.709,581.967,810.452,441.808,503.668,277.686,210.347,120.459,408.246,185.202,443.686,346.144,137.785,702.653,507.461,558.252,1096.682,50.830,257.707,541.473,244.702,458.436,358.368,143.632,596.379,359.083,372.858,144.669
7/2026,174.912,24.858,283.798,118.477,151.953,152.096,100.201,29.277,24.380,4.966,61.640,28.662,83.125,48.867,13.288,192.266,144.234,105.204,474.501,3.600,34.550,107.855,35.265,75.777,61.003,11.526,216.364,47.613,66.663,20.327
8/2026,30.883,10.156,46.363,24.030,42.934,34.781,23.566,9.714,10.718,3.757,13.747,9.667,15.649,15.446,7.968,30.219,28.676,22.660,71.755,7.203,10.973,37.044,10.923,18.533,15.489,6.304,33.348,12.964,15.781,9.298
9/2026,20.904,10.556,22.317,18.209,86.448,18.379,18.304,18.242,10.823,6.548,16.365,18.230,10.959,25.733,16.389,21.382,17.531,14.052,36.559,8.581,23.099,36.092,9.921,13.345,12.920,7.313,18.068,13.004,16.176,8.967
10/2026,40.598,21.853,43.780,27.147,100.942,43.483,22.299,37.463,19.184,20.572,19.034,36.895,28.922,49.714,45.176,23.926,35.374,25.504,39.777,16.826,47.212,36.972,16.037,22.652,41.688,24.015,23.704,27.791,18.892,14.800
11/2026,34.771,26.297,40.045,51.979,50.266,38.703,25.682,26.311,25.006,19.706,25.344,43.686,28.754,44.876,35.441,29.611,36.356,47.497,40.955,23.287,40.244,35.556,23.496,26.216,32.551,26.035,29.670,38.794,25.984,21.240
12/2026,27.435,22.843,40.441,47.158,34.811,41.334,25.515,23.620,22.091,19.713,26.877,26.093,23.678,31.240,23.940,28.703,29.071,33.629,34.277,23.012,27.009,31.930,23.688,25.149,31.477,20.870,30.593,31.323,23.787,20.763
1/2027,25.466,24.332,30.893,35.094,32.409,30.772,28.960,22.008,20.587,18.608,23.628,29.749,26.418,25.770,22.122,27.172,26.511,30.203,34.346,20.980,23.301,28.293,22.186,24.207,28.036,19.576,26.726,26.176,22.535,20.304
2/2027,22.563,32.450,35.314,27.675,31.604,30.654,36.396,19.579,17.855,26.959,21.184,31.674,20.844,27.872,19.394,28.483,22.777,24.853,29.759,19.107,23.567,50.133,23.891,44.239,31.765,18.647,23.030,23.871,21.133,17.374
3/2027,75.268,94.545,66.856,84.086,82.093,86.909,64.244,48.468,28.322,55.691,103.630,52.016,42.286,132.201,27.914,94.308,36.412,59.069,95.391,41.131,66.724,95.219,66.093,151.155,57.572,30.178,62.491,45.508,65.457,40.365
4/2027,242.738,131.768,338.275,260.019,279.619,225.230,212.514,188.402,131.481,226.635,263.616,208.947,316.976,230.580,101.835,268.940,202.010,353.608,264.014,116.434,251.643,172.553,264.898,220.914,145.161,214.052,202.198,142.878,174.466,191.333
5/2027,457.750,700.250,796.200,951.358,690.427,624.180,546.114,464.784,204.646,590.958,443.020,576.280,668.395,436.295,633.040,759.498,441.785,885.296,250.597,357.726,593.247,376.790,653.017,484.413,392.850,481.017,566.666,439.056,365.171,681.083
6/2027,181.124,824.815,582.211,810.416,442.015,520.220,277.957,210.576,120.348,435.579,184.997,443.614,346.534,142.532,704.496,507.430,558.702,1101.654,50.934,258.985,541.788,250.299,458.812,358.457,143.843,592.552,358.978,372.958,145.071,692.602
7/2027,24.764,296.577,118.595,151.904,152.151,107.553,29.460,24.570,4.945,65.614,28.455,82.982,49.019,14.259,192.520,144.166,105.489,496.351,3.637,35.395,107.880,36.876,75.862,61.003,11.615,230.707,47.503,66.708,20.626,184.543
8/2027,10.084,48.894,24.126,42.867,34.825,24.738,9.926,10.837,3.723,14.214,9.488,15.506,15.613,7.934,30.305,28.609,22.936,76.341,7.334,11.737,37.052,11.121,18.563,15.537,6.382,35.101,12.870,15.814,9.597,31.780
9/2027,10.478,22.503,18.283,86.377,18.471,18.618,18.442,10.920,6.506,16.393,18.047,10.825,25.902,15.565,21.440,17.479,14.300,36.881,8.689,23.975,36.107,9.873,13.417,12.954,7.403,18.287,12.901,16.213,9.216,20.845
10/2027,21.766,43.801,27.229,100.879,43.551,23.031,37.664,19.383,20.473,19.213,36.704,28.781,49.871,45.139,23.990,35.323,25.770,39.924,16.946,48.200,36.990,15.785,22.730,41.726,24.227,23.466,27.661,18.931,15.078,40.159
11/2027,26.214,39.923,52.068,50.217,38.784,26.185,26.475,25.182,19.630,25.275,43.490,28.624,45.026,36.281,29.669,36.310,47.748,41.594,23.405,41.073,35.573,23.415,26.284,32.579,26.216,29.751,38.692,26.023,21.520,35.525
12/2027,22.761,41.159,47.248,34.765,41.427,25.987,23.776,22.266,19.637,27.162,25.922,23.549,31.369,24.001,28.758,29.025,33.877,34.659,23.127,27.776,31.948,23.737,25.215,31.501,21.044,30.922,31.223,23.823,21.033,27.492
1/2028,24.251,31.161,35.175,32.365,30.845,29.136,22.154,20.755,18.536,23.802,29.580,26.290,25.887,22.116,27.223,26.467,30.429,34.543,21.089,24.015,28.308,22.158,24.269,28.057,19.742,26.871,26.085,22.569,20.560,25.480
2/2028,34.526,36.494,28.692,33.099,31.904,38.115,20.539,18.677,27.674,21.969,32.795,21.448,29.255,19.998,30.274,23.526,25.985,30.981,19.848,25.589,51.657,24.592,46.294,32.758,19.487,23.895,24.898,22.018,18.210,23.369
3/2028,94.291,67.086,87.425,85.915,89.358,65.040,50.535,29.515,56.668,103.864,53.127,43.238,137.404,27.882,94.785,37.159,60.331,95.934,42.758,69.203,99.555,66.102,155.113,58.694,32.208,62.649,45.921,67.774,44.877,75.312
4/2028,134.568,340.447,274.739,290.135,240.770,213.583,201.170,134.532,239.780,263.965,217.020,327.504,237.386,101.728,285.381,208.435,366.462,265.632,122.693,260.291,174.851,264.871,222.477,152.867,224.260,202.961,144.494,181.366,202.616,243.701
5/2028,729.122,798.606,966.801,699.331,636.704,547.608,464.771,208.967,614.533,443.354,586.606,675.841,434.381,635.750,770.530,467.725,914.246,250.979,365.783,625.451,383.556,653.724,494.867,394.790,491.722,568.419,455.416,372.504,703.956,458.702
6/2028,818.523,582.886,797.849,434.559,505.794,278.200,202.312,115.909,408.916,185.126,438.163,335.507,138.139,705.363,497.409,540.705,1098.732,51.034,249.881,515.945,244.847,458.868,352.297,137.227,597.426,359.406,363.236,134.892,675.738,181.316
7/2028,284.416,119.280,142.630,145.742,101.483,30.067,23.500,4.667,62.193,28.887,77.014,46.813,13.662,193.097,137.428,99.317,475.725,3.800,33.747,102.508,35.571,76.284,57.911,10.901,217.258,48.013,63.160,20.140,175.390,25.137
8/2028,46.700,24.484,42.306,33.849,24.376,10.343,10.996,3.836,14.060,9.736,15.206,15.682,8.072,30.510,27.908,22.624,72.336,7.635,11.626,39.020,11.044,18.786,15.406,6.493,33.777,13.131,15.665,9.745,31.150,10.291
9/2028,22.480,18.457,89.246,18.470,19.016,18.804,11.105,6.735,16.556,18.223,10.976,27.164,16.433,21.546,17.574,14.314,36.944,8.861,24.962,34.674,9.973,13.556,13.296,7.534,18.396,13.067,16.278,9.398,21.107,10.593
10/2028,44.001,27.449,98.275,44.186,23.065,38.103,19.788,20.875,19.299,36.933,29.076,49.181,45.282,24.146,35.929,26.808,40.231,17.195,48.530,37.382,16.152,22.962,42.082,24.789,24.035,27.924,19.335,15.250,40.860,21.937
11/2028,40.121,52.168,49.099,38.592,26.263,26.686,25.256,19.688,25.433,43.556,28.233,44.421,35.412,29.685,36.001,47.028,41.209,23.518,40.070,35.231,23.444,26.353,32.748,25.849,29.896,38.777,25.897,21.670,34.869,26.235
12/2028,40.473,47.285,34.497,40.900,26.005,23.963,22.279,19.653,26.918,25.938,23.371,30.758,23.842,28.715,28.871,33.642,34.474,23.171,27.424,31.971,23.585,25.205,30.862,20.960,30.752,31.259,23.674,20.984,27.493,22.732
