segdesc   = TPIC2L_F
2023-01-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
1/2025,3.747,5.347,4.581,6.613,5.697,5.687,4.089,4.760,3.787,3.702,2.797,3.596,3.548,4.139,4.457,3.575,5.378,4.728,4.095,5.450,3.011,3.717,5.023,4.234,3.736,5.202,3.455,5.127,4.551,4.063
2/2025,3.143,4.438,3.907,5.385,4.639,4.670,3.408,3.972,3.162,3.038,2.469,2.966,2.931,3.378,3.714,2.903,4.448,3.883,3.353,4.471,2.551,3.061,4.739,3.675,3.113,4.357,2.883,4.216,3.739,3.467
3/2025,3.615,5.279,5.309,5.743,5.815,5.289,4.559,4.377,3.624,3.191,3.103,4.998,3.143,3.589,6.358,2.934,5.412,3.919,3.692,5.684,2.745,3.056,6.059,4.447,4.976,4.590,2.920,4.640,3.917,3.992
4/2025,6.713,8.958,6.713,10.142,8.186,7.055,6.531,9.758,7.207,7.552,6.086,10.075,6.580,9.294,9.990,3.703,7.069,7.160,6.721,12.990,4.772,5.383,9.940,7.239,9.793,7.329,6.808,7.156,7.036,8.568
5/2025,31.126,29.491,30.326,56.166,38.568,23.005,22.877,33.929,25.921,17.563,21.427,27.769,24.492,31.816,29.941,24.393,37.974,16.464,21.197,24.687,16.248,26.844,20.362,17.280,31.504,30.444,21.123,26.406,20.459,26.527
6/2025,64.364,42.183,84.749,61.836,73.151,32.628,48.289,26.113,26.336,13.533,34.243,22.271,35.810,36.744,28.148,75.104,41.782,42.315,66.718,11.836,29.627,51.603,51.964,42.368,53.551,18.901,57.810,33.738,43.086,26.983
7/2025,32.815,15.799,73.379,23.907,27.941,16.339,29.571,10.921,10.362,6.409,12.264,9.242,15.330,13.092,11.912,37.472,22.097,14.431,41.337,7.371,12.196,18.859,18.197,15.427,20.596,8.383,37.745,12.409,17.917,13.414
8/2025,12.569,7.878,23.459,10.874,13.565,8.402,12.375,7.166,7.127,4.451,6.766,6.044,8.973,8.128,7.525,13.221,9.720,9.159,14.664,5.512,7.601,9.822,8.634,8.395,12.076,5.730,13.424,7.501,8.446,8.721
9/2025,8.973,6.311,13.555,8.203,9.182,5.945,7.747,5.533,5.334,3.738,7.388,4.919,5.985,6.702,6.485,8.373,6.818,6.065,8.461,4.840,6.502,9.101,6.574,6.136,7.552,4.775,8.019,7.398,6.041,6.839
10/2025,8.368,7.266,11.093,7.968,8.546,6.685,6.665,5.070,4.649,4.669,5.533,5.065,6.686,8.666,6.341,7.949,7.350,5.566,7.847,4.403,6.939,11.014,5.636,5.339,7.848,4.746,6.802,6.668,5.366,5.119
11/2025,6.904,5.858,8.300,7.542,7.062,5.262,5.660,4.269,4.748,3.283,4.315,4.353,5.843,6.225,5.191,6.690,6.267,5.620,6.511,3.753,4.730,7.048,4.848,4.531,6.507,4.432,5.936,6.853,4.683,4.271
