segdesc   = GBRW4R_F
2023-08-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
8/2025,178.257,27.444,144.822,91.381,151.795,115.629,112.946,38.277,21.190,33.913,34.991,67.410,84.415,45.480,28.142,61.981,109.174,58.870,177.219,38.921,23.632,97.395,53.076,43.876,117.082,70.636,79.048,60.139,73.490,20.954
9/2025,68.963,26.420,62.472,55.311,95.782,56.727,78.323,42.993,20.245,35.192,35.236,54.516,47.641,37.748,26.992,46.496,52.899,38.926,78.357,30.953,30.123,67.864,41.217,39.163,80.379,45.447,54.897,39.688,59.772,24.725
10/2025,52.937,37.591,54.122,52.255,82.602,54.586,51.450,40.022,22.667,35.726,28.613,49.277,46.731,53.580,43.735,40.155,52.176,33.222,66.895,32.199,34.333,114.186,48.363,71.920,84.425,46.055,48.504,37.168,40.093,23.474
11/2025,44.148,34.344,48.103,50.341,56.970,44.307,45.327,35.738,31.795,30.866,29.877,48.691,41.871,40.615,36.309,41.631,48.373,34.201,55.992,38.570,29.590,59.787,38.671,72.834,67.041,44.516,40.485,40.645,40.417,25.421
12/2025,37.388,27.746,46.475,46.325,46.644,39.353,39.574,29.565,24.365,25.607,25.586,35.051,36.685,35.617,26.828,33.134,39.119,28.831,46.051,32.509,23.493,45.942,32.285,40.913,59.856,37.431,34.078,34.270,34.960,21.890
1/2026,32.595,24.163,36.755,45.629,40.242,33.520,34.757,25.771,20.198,22.358,22.802,29.556,35.943,32.481,22.342,30.285,33.616,26.125,41.316,27.540,20.771,41.677,28.612,32.989,50.924,32.772,29.544,29.295,30.041,19.702
2/2026,27.517,32.482,40.114,36.786,33.594,30.390,33.795,22.468,17.624,27.988,21.049,26.004,30.062,29.964,19.025,28.242,28.239,24.398,36.840,24.051,25.080,43.799,33.635,44.122,44.409,31.098,26.055,29.041,25.999,18.469
3/2026,49.438,61.590,56.493,61.279,52.718,48.178,43.964,36.186,26.484,36.612,52.841,47.410,38.842,66.635,27.474,47.834,38.446,32.494,67.185,38.583,38.523,75.390,52.863,125.552,51.736,45.979,44.292,36.533,47.662,40.706
4/2026,88.062,61.617,111.847,90.224,84.173,66.022,80.370,46.954,55.818,60.979,106.356,71.553,97.038,69.801,32.603,77.225,52.364,56.991,130.531,45.737,68.071,81.633,82.973,246.252,83.940,100.510,62.431,58.111,63.600,62.486
5/2026,183.171,62.221,153.555,339.261,160.820,176.866,171.271,102.806,49.641,69.856,101.019,136.291,232.811,172.999,106.520,135.552,27.191,144.567,178.511,70.757,169.802,188.015,126.845,366.450,272.798,87.297,124.321,77.057,147.115,184.782
6/2026,159.145,415.010,580.393,711.761,309.853,534.332,219.076,120.388,187.437,211.393,244.230,361.096,279.780,65.349,270.517,446.885,200.658,395.920,208.000,95.909,443.562,297.592,276.998,710.107,455.350,266.744,341.513,323.487,59.452,348.058
7/2026,31.436,411.789,285.285,314.611,355.483,323.840,66.024,31.835,79.980,73.624,168.219,257.424,79.103,11.789,193.162,347.034,179.691,603.619,73.283,37.434,288.483,133.801,90.944,359.155,198.209,213.253,169.115,168.611,34.278,225.896
8/2026,27.236,145.128,91.020,151.874,120.860,113.237,38.272,21.454,34.201,34.252,66.922,84.048,45.981,28.177,61.685,108.653,59.748,177.313,38.648,24.383,97.900,52.641,44.007,116.947,72.207,79.552,60.037,73.400,21.204,178.092
9/2026,26.024,62.650,55.030,95.824,57.491,78.554,42.998,20.467,34.631,34.589,54.116,47.353,37.302,27.021,46.249,52.512,39.598,78.374,30.722,30.786,66.694,40.843,39.279,80.270,45.779,55.321,39.596,59.693,24.514,68.814
10/2026,36.999,54.277,52.001,82.632,54.920,51.653,40.019,22.874,35.309,28.047,48.914,46.467,53.869,43.782,39.940,51.807,33.148,66.907,31.986,34.967,116.292,48.010,72.053,84.324,45.808,48.891,37.083,40.018,23.366,52.799
11/2026,34.335,48.232,50.115,56.986,44.597,45.503,35.731,31.995,30.671,29.389,48.366,41.645,40.780,36.340,41.442,48.063,34.113,55.997,38.380,30.113,60.595,38.377,72.951,66.960,44.798,40.812,40.575,40.350,25.274,44.029
12/2026,27.526,46.599,46.117,46.657,39.447,39.738,29.556,24.535,25.303,25.132,34.766,36.475,35.597,26.857,32.970,38.842,28.767,46.055,32.338,23.972,46.021,32.013,40.994,59.781,37.479,34.376,34.199,34.897,21.763,37.278
1/2027,23.977,36.860,45.444,40.252,33.595,34.904,25.762,20.349,22.039,22.392,29.300,35.753,32.656,22.370,30.138,33.370,26.003,41.320,27.391,21.202,41.599,28.367,33.060,50.860,32.782,29.810,29.230,29.984,19.608,32.496
2/2027,31.433,40.201,36.637,33.601,30.269,33.917,22.460,17.748,27.634,20.712,25.794,29.910,29.878,19.049,28.121,28.038,24.364,36.843,23.931,25.431,43.716,33.423,44.176,44.355,30.951,26.271,28.983,25.952,18.390,27.436
3/2027,61.477,56.586,61.095,52.717,47.608,44.095,36.171,26.609,36.119,52.439,47.180,38.685,64.975,27.500,47.702,38.233,32.296,67.191,38.451,38.900,73.300,52.618,125.638,51.679,45.361,44.528,36.472,47.602,38.515,49.337
4/2027,60.421,111.987,89.958,84.156,62.470,80.587,46.932,55.973,59.644,105.829,71.266,96.749,68.847,32.628,77.069,52.116,55.605,130.564,45.602,68.549,81.822,82.671,246.422,83.859,96.994,62.762,58.044,63.521,62.414,87.952
5/2027,57.843,153.722,338.833,160.836,163.425,171.459,102.848,49.844,58.300,100.496,135.807,232.544,170.275,106.582,135.330,27.000,138.631,178.582,70.618,170.685,183.030,126.548,366.676,272.722,85.873,124.665,77.013,147.057,171.595,183.101
6/2027,398.098,580.590,711.555,309.898,534.181,219.174,120.412,187.663,217.892,243.712,360.729,279.634,68.495,270.611,446.604,200.403,375.516,208.022,95.820,444.279,296.490,276.773,710.217,455.307,259.970,341.745,323.413,59.424,350.019,159.093
7/2027,422.647,285.337,314.541,355.497,334.219,66.092,31.827,80.068,77.464,167.981,257.265,79.023,12.484,193.193,346.927,179.544,618.773,73.282,37.362,288.715,138.852,90.824,359.169,198.180,219.536,169.245,168.567,34.248,226.938,31.386
8/2027,150.815,91.044,151.825,120.856,116.724,38.331,21.443,34.258,34.817,66.766,83.961,45.915,28.751,61.698,108.611,59.643,183.666,38.645,24.321,98.024,53.807,43.909,116.949,72.184,81.817,60.137,73.365,21.176,183.796,27.190
9/2027,63.523,55.049,95.784,57.485,79.019,43.051,20.456,34.683,34.545,53.985,47.284,37.245,26.757,46.259,52.480,39.509,79.844,30.720,30.731,66.799,40.805,39.192,80.271,45.759,55.398,39.682,59.663,24.489,70.165,25.983
10/2027,54.594,52.018,82.596,54.914,52.106,40.069,22.863,35.354,28.049,48.794,46.402,53.815,43.568,39.950,51.776,33.065,66.918,31.985,34.915,116.418,48.259,71.959,84.325,45.789,49.186,37.164,39.989,23.343,53.425,36.960
11/2027,48.071,50.131,56.955,44.591,45.600,35.774,31.986,30.710,29.362,48.256,41.587,40.733,36.905,41.452,48.038,34.046,56.351,38.379,30.070,60.677,38.593,72.870,66.961,44.782,41.011,40.648,40.323,25.253,44.235,34.302
12/2027,46.775,46.132,46.627,39.440,39.766,29.597,24.525,25.339,25.081,34.668,36.421,35.554,27.029,32.979,38.819,28.699,46.151,32.338,23.932,46.097,32.073,40.929,59.782,37.464,34.439,34.267,34.872,21.743,37.328,27.495
1/2028,36.950,45.456,40.225,33.588,34.918,25.800,20.340,22.072,22.317,29.211,35.704,32.616,22.420,30.147,33.349,25.941,41.227,27.391,21.166,41.667,28.375,33.001,50.860,32.769,29.828,29.291,29.961,19.590,32.510,23.948
2/2028,41.465,37.953,34.809,31.494,35.007,23.460,18.507,28.572,21.444,26.706,30.978,30.962,19.805,29.496,29.057,25.228,38.249,24.838,26.589,45.303,34.489,46.003,45.855,32.245,27.258,30.254,26.910,19.098,28.458,33.191
3/2028,56.420,62.035,54.249,48.082,43.956,36.661,26.848,36.314,52.334,47.776,38.918,66.516,27.478,47.697,38.476,32.302,67.072,39.024,38.848,75.377,52.578,130.389,51.840,45.923,44.507,36.441,48.215,40.503,49.263,61.297
4/2028,111.318,93.236,84.493,65.193,79.636,47.997,56.205,59.892,104.934,71.978,98.770,68.791,31.896,78.475,52.800,56.081,129.885,45.731,69.639,81.152,81.714,246.374,86.726,99.410,61.876,58.682,64.407,61.549,87.161,60.463
5/2028,153.014,347.141,167.716,176.501,171.207,107.672,53.587,68.820,99.531,143.892,241.739,172.242,105.874,145.530,29.041,143.095,178.538,73.158,187.735,187.835,125.714,374.641,285.062,86.092,124.011,80.173,150.274,183.587,182.744,60.673
6/2028,582.490,717.475,313.184,536.526,220.529,117.830,190.586,212.509,244.794,369.358,274.162,66.485,272.251,454.451,208.860,397.622,209.489,96.104,439.947,298.899,278.217,717.942,452.325,268.092,343.411,330.844,58.679,349.097,160.380,416.094
7/2028,287.262,305.363,354.036,325.694,67.772,31.061,76.560,75.365,169.539,246.362,76.488,13.648,195.314,336.792,172.574,605.905,75.135,36.748,282.161,135.532,92.425,348.733,191.573,215.167,171.003,164.254,33.278,227.315,33.085,413.436
