segdesc   = MPSC2L_F
2021-12-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
12/2023,22.231,31.259,26.810,41.594,34.746,36.378,33.268,27.427,23.824,24.450,17.078,23.415,24.949,29.809,31.165,25.648,31.558,29.302,26.229,29.510,17.639,24.940,31.890,27.172,24.538,32.949,19.349,30.809,26.300,22.476
1/2024,20.767,28.433,24.282,35.239,29.517,32.181,28.455,27.112,21.993,21.313,16.278,21.126,24.013,25.727,26.222,21.365,28.657,25.950,24.126,27.976,16.343,21.640,27.891,24.980,22.787,28.480,17.771,28.116,25.101,19.452
2/2024,19.661,24.646,27.294,34.997,24.876,28.323,27.826,27.982,21.423,18.554,19.495,18.779,21.876,21.711,25.102,17.974,25.958,22.160,20.722,24.080,14.840,21.931,33.331,24.004,28.278,30.022,15.950,25.460,22.152,16.894
3/2024,33.807,43.011,49.842,44.331,47.565,45.069,39.892,33.432,31.657,23.088,30.436,48.678,27.403,30.481,58.461,19.077,45.417,25.307,33.292,41.724,21.931,29.061,55.785,40.232,62.577,31.700,22.706,38.076,26.396,29.528
4/2024,73.159,78.920,63.975,104.241,88.643,68.103,60.232,92.999,67.240,58.887,56.324,106.110,68.523,97.509,105.343,53.890,68.119,59.994,71.785,92.132,41.916,70.030,85.817,67.325,120.107,51.470,85.539,55.922,58.016,41.222
5/2024,285.912,221.976,268.281,380.736,348.693,210.448,236.959,261.877,265.513,98.747,175.103,239.505,274.948,249.443,245.728,265.891,319.450,129.183,173.410,155.486,109.091,245.508,177.597,177.238,262.391,171.588,208.832,194.916,136.243,164.826
6/2024,429.898,228.887,604.873,323.364,512.472,226.931,348.887,163.308,203.041,62.586,215.350,148.254,300.198,195.411,179.917,504.416,274.284,284.234,449.439,59.512,159.192,351.873,369.149,305.905,408.543,80.399,430.927,202.677,139.843,320.050
7/2024,193.382,69.428,443.205,114.626,179.135,108.164,222.052,53.598,62.329,26.508,58.774,56.694,119.160,74.306,67.781,219.517,139.694,76.436,229.822,30.525,58.456,106.931,121.591,97.575,136.615,34.885,263.848,62.950,59.810,186.152
8/2024,71.700,44.567,127.926,56.336,86.499,54.160,91.681,46.913,54.664,22.902,43.539,39.350,60.863,52.458,49.506,81.547,57.129,52.702,72.576,30.562,41.919,59.912,55.869,55.521,66.791,28.445,85.021,41.732,36.653,92.822
9/2024,51.117,36.156,66.691,41.249,59.216,34.966,49.770,34.951,32.459,21.790,58.173,35.819,38.976,38.496,43.272,46.637,38.189,30.832,41.969,24.937,54.899,53.107,40.383,36.691,40.767,23.161,45.340,38.464,27.857,74.141
