segdesc   = DRGC2L_F
2021-12-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
12/2023,11.969,14.603,15.044,15.892,15.465,18.632,16.539,13.158,12.040,11.803,11.442,11.685,17.260,17.921,18.801,15.793,15.255,13.436,13.857,15.173,10.052,14.678,16.405,12.893,11.996,12.837,9.337,12.359,12.308,14.835
1/2024,11.328,13.625,13.167,14.485,12.855,15.417,13.793,12.921,11.173,11.540,10.357,10.697,16.295,15.570,14.305,13.158,13.501,11.962,12.089,13.717,10.113,12.321,14.016,11.334,11.819,12.175,9.008,11.992,11.962,11.595
2/2024,10.464,12.027,14.613,16.364,11.124,13.169,13.298,12.617,9.966,10.517,9.819,10.189,14.576,13.093,13.899,10.937,12.888,10.413,10.600,11.127,10.212,12.394,16.444,12.739,13.903,12.141,8.241,11.089,11.254,9.676
3/2024,15.825,21.603,33.163,19.270,37.068,21.765,20.282,16.634,17.254,13.119,14.333,31.023,26.740,16.450,47.138,13.690,21.733,11.639,16.305,20.698,12.899,17.067,31.768,19.198,38.808,13.673,11.600,16.343,13.001,12.221
4/2024,44.795,57.881,38.869,40.912,66.806,44.526,45.160,51.578,58.484,38.343,36.142,88.022,76.863,52.918,72.732,34.760,42.384,29.250,37.795,77.214,19.435,46.513,43.894,39.265,78.164,30.015,46.915,27.585,38.057,23.928
5/2024,213.322,157.039,110.834,146.744,200.935,147.812,154.245,128.152,230.169,55.413,118.071,151.288,235.233,129.928,153.650,184.583,212.021,88.402,131.717,117.611,81.128,113.690,97.208,106.426,149.668,76.484,132.485,122.085,93.165,111.399
6/2024,234.614,153.445,271.260,104.112,261.978,133.314,223.464,77.283,132.751,32.253,89.830,101.333,217.217,87.911,123.878,218.477,121.950,149.892,224.530,53.089,66.032,156.095,187.992,172.834,172.005,31.963,267.358,93.610,97.379,198.298
7/2024,87.422,39.622,205.843,40.919,92.480,74.632,141.346,24.340,53.615,13.591,27.879,37.263,83.893,49.854,47.439,81.662,48.884,43.178,85.749,20.712,26.495,48.897,59.348,49.933,53.896,14.550,111.886,32.039,49.292,124.255
8/2024,37.853,19.320,68.625,19.090,69.924,29.631,87.142,15.959,35.291,9.607,19.313,18.740,39.684,34.021,38.587,31.476,21.132,34.498,27.812,13.937,26.341,29.984,24.653,32.913,30.478,9.206,33.453,16.975,25.606,82.843
9/2024,31.195,29.736,36.132,21.801,61.102,23.612,43.974,15.318,18.539,22.003,33.321,40.921,22.915,32.991,35.449,35.779,14.986,18.484,19.958,10.995,43.949,36.659,16.303,22.646,18.049,9.432,17.293,12.562,16.705,59.248
10/2024,21.902,27.624,27.603,38.925,51.158,24.255,21.180,18.802,15.001,25.179,17.402,42.283,40.908,82.475,33.107,22.499,17.181,21.447,29.785,10.001,32.226,43.616,19.700,16.476,17.073,12.457,12.420,11.105,32.805,30.613
11/2024,16.654,21.020,18.767,21.378,27.767,21.093,14.862,14.823,13.149,14.825,12.370,25.801,26.166,32.579,19.983,17.746,17.374,18.843,20.829,9.507,20.383,21.494,15.669,12.663,13.528,11.035,11.940,12.465,22.827,20.296
12/2024,14.672,15.269,15.981,16.092,18.488,17.263,13.431,12.498,11.816,11.875,11.790,17.496,17.876,19.461,15.783,15.277,13.621,14.224,15.095,10.164,14.923,16.354,13.089,12.031,12.853,9.623,12.424,12.397,15.048,15.683
1/2025,13.752,13.371,14.646,13.440,15.402,14.425,13.240,11.628,11.582,10.748,10.803,16.052,15.614,14.941,13.206,13.629,12.207,12.422,13.711,10.336,12.633,13.970,11.537,11.896,12.244,9.277,12.054,11.944,11.908,13.756
2/2025,11.709,14.252,16.021,11.303,12.742,13.438,12.514,10.047,10.191,9.860,9.978,14.116,12.755,14.152,10.643,12.581,10.286,10.530,10.787,9.926,12.309,15.912,12.626,13.603,11.831,8.197,10.780,10.929,9.659,11.780
3/2025,21.791,33.556,19.449,38.561,21.757,20.520,17.117,18.094,13.173,14.713,31.037,26.549,16.607,47.652,13.794,21.899,11.928,16.616,20.733,13.050,17.342,29.954,19.453,38.711,13.797,11.863,16.476,13.055,12.658,16.520
4/2025,58.054,37.991,41.040,68.285,44.063,43.313,51.713,59.470,38.258,35.516,88.284,77.126,52.923,70.266,34.910,42.394,29.835,37.572,77.152,19.674,47.332,44.240,39.617,78.116,30.017,43.990,27.728,38.081,24.609,31.633
5/2025,157.061,108.372,146.700,201.883,147.569,152.360,128.180,231.063,55.336,113.785,151.507,235.442,129.864,154.585,184.503,212.141,88.510,126.868,117.529,81.152,114.521,93.771,107.128,149.936,76.478,133.087,122.097,93.164,112.499,107.096
6/2025,153.353,265.922,104.144,262.024,133.192,222.400,77.434,132.908,32.224,95.219,101.400,217.235,87.803,125.454,218.346,121.990,149.763,226.355,52.986,66.064,156.256,188.992,172.927,172.055,31.999,263.627,93.553,97.305,198.702,242.354
7/2025,39.641,211.870,41.022,92.548,74.556,146.120,24.505,53.780,13.608,28.483,37.287,83.887,49.848,48.454,81.642,48.907,43.260,88.713,20.703,26.553,48.943,61.027,49.998,53.919,14.613,117.733,32.064,49.256,124.256,152.426
8/2025,19.288,70.329,19.130,70.018,29.552,87.970,16.054,35.390,9.575,19.329,18.686,39.622,34.005,39.357,31.430,21.113,34.550,28.677,13.876,26.347,29.994,24.976,32.949,30.430,9.208,34.335,16.952,25.562,82.861,58.845
9/2025,29.795,36.766,21.918,61.287,23.621,45.356,15.476,18.703,22.048,33.758,40.952,22.928,33.057,35.554,35.824,15.040,18.623,20.273,11.032,44.051,36.768,16.485,22.732,18.074,9.508,17.764,12.627,16.738,59.380,24.993
10/2025,27.676,28.316,39.055,51.296,24.257,21.732,18.969,15.148,25.208,17.943,42.305,40.913,82.544,33.957,22.525,17.224,21.581,29.387,10.027,32.303,43.716,19.620,16.548,17.087,12.530,12.580,11.152,32.829,30.706,23.878
11/2025,21.066,19.038,21.513,27.884,21.097,15.136,14.969,13.283,14.853,12.619,25.818,26.169,32.636,20.689,17.769,17.412,18.965,21.404,9.530,20.448,21.561,15.860,12.729,13.539,11.096,12.001,12.507,22.849,20.394,14.897
12/2025,15.315,16.138,16.200,18.602,17.266,13.622,12.633,11.946,11.902,11.980,17.506,17.879,19.519,16.193,15.300,13.659,14.357,15.331,10.186,14.981,16.426,13.162,12.096,12.864,9.679,12.518,12.441,15.070,15.770,13.855
1/2026,13.412,14.729,13.530,15.511,14.429,13.381,11.750,11.710,10.772,10.962,16.062,15.617,14.995,13.507,13.651,12.243,12.543,13.871,10.358,12.686,14.036,11.565,11.958,12.255,9.329,12.140,11.983,11.929,13.832,13.630
2/2026,14.310,16.127,11.382,12.836,13.443,12.661,10.155,10.303,9.883,9.697,14.125,12.758,14.213,10.856,12.605,10.317,10.636,10.877,9.946,12.362,15.985,12.452,13.681,11.841,8.242,10.834,10.963,9.677,11.849,11.664
3/2026,33.676,19.641,38.790,21.959,20.522,17.151,18.349,13.322,14.746,31.351,26.563,16.611,47.736,13.821,21.941,11.965,16.813,19.803,13.077,17.410,30.058,19.660,38.900,13.810,11.928,16.480,13.103,12.692,16.654,14.947
4/2026,38.088,40.282,68.512,44.307,43.315,48.807,59.663,38.415,35.549,86.971,77.222,52.936,70.319,34.534,42.433,29.910,37.737,76.085,19.695,47.478,44.327,38.842,78.290,30.032,44.128,25.816,38.120,24.655,31.806,32.295
5/2026,108.432,145.606,201.962,147.676,152.360,127.224,231.195,55.433,113.809,151.788,235.498,129.872,154.624,179.492,212.164,88.558,126.977,118.223,81.162,114.618,93.899,104.456,150.059,76.487,133.302,120.018,93.191,112.518,107.307,203.102
6/2026,265.946,102.679,262.054,133.242,222.395,81.165,132.974,32.308,95.230,101.655,217.243,87.805,125.486,220.899,122.003,149.788,226.418,53.695,66.075,156.284,189.048,173.621,172.083,32.006,263.680,96.394,97.327,198.708,242.454,260.068
7/2026,211.883,43.577,92.573,74.600,146.121,25.148,53.841,13.690,28.496,38.356,83.889,49.850,48.537,84.633,48.918,43.282,88.775,21.025,26.567,48.962,61.056,51.472,53.938,14.619,117.753,32.522,49.283,124.266,152.454,131.350
8/2026,70.341,19.414,70.050,29.592,87.972,16.093,35.447,9.651,19.342,19.060,39.624,34.006,39.390,32.247,21.124,34.571,28.736,14.065,26.360,30.013,24.999,32.790,30.446,9.215,34.350,17.357,25.588,82.872,58.866,65.923
9/2026,36.777,21.757,61.317,23.657,45.358,15.791,18.754,22.132,33.773,39.712,22.928,33.059,35.587,36.107,15.049,18.641,20.326,11.143,44.067,36.789,16.506,23.346,18.088,9.514,17.774,12.718,16.760,59.390,25.010,36.618
10/2026,28.327,39.271,51.319,24.301,21.734,18.940,15.197,25.285,17.955,43.438,40.914,82.547,33.986,22.704,17.233,21.600,29.447,10.100,32.317,43.735,19.644,16.954,17.101,12.537,12.591,11.206,32.852,30.714,23.896,32.375
11/2026,19.047,21.719,27.904,21.148,15.137,15.358,13.328,14.919,12.630,26.393,26.169,32.637,20.713,18.113,17.420,18.982,21.453,9.579,20.460,21.575,15.880,12.866,13.552,11.102,12.011,12.519,22.868,20.404,14.913,20.789
