segdesc   = CLSC2L_F
2022-03-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
3/2024,41.647,50.790,60.657,52.129,59.047,52.144,50.509,39.806,37.367,27.120,38.892,60.300,33.220,35.496,81.692,24.173,55.174,27.820,40.352,52.064,25.351,38.198,68.290,48.232,78.333,37.003,26.821,45.410,31.074,35.881
4/2024,96.041,95.133,77.732,125.615,112.443,86.411,75.792,108.731,81.615,66.923,73.478,140.272,83.693,116.782,138.116,75.747,85.490,69.485,96.836,116.878,49.590,84.005,103.223,84.231,144.478,64.311,110.546,66.604,69.608,49.748
5/2024,332.037,257.998,307.467,430.991,413.174,251.789,285.639,298.386,316.426,109.080,200.924,280.232,318.576,287.295,299.265,329.501,373.878,151.728,216.842,181.201,124.696,281.107,212.182,207.500,305.077,195.928,252.355,222.633,152.610,191.632
6/2024,471.699,252.837,673.994,352.335,579.554,256.802,402.691,182.829,231.170,66.136,236.308,166.749,337.239,216.779,212.447,574.831,306.420,329.015,516.937,66.497,173.844,396.101,417.747,353.034,460.755,85.121,489.869,226.035,155.004,364.327
7/2024,204.279,71.834,487.337,118.907,193.335,119.465,251.276,55.339,64.728,27.261,60.685,59.405,126.600,77.656,71.908,238.202,149.854,80.306,250.487,31.878,60.211,114.233,130.061,105.919,144.254,35.932,294.633,65.877,62.492,207.566
8/2024,74.819,46.778,133.301,58.533,91.940,56.697,99.037,49.209,57.695,24.203,45.874,41.651,63.776,56.725,54.057,85.357,60.087,56.236,75.784,33.023,44.284,64.484,58.251,58.203,70.072,30.010,89.473,43.999,38.854,104.140
9/2024,54.212,39.333,70.717,44.083,66.053,36.783,54.024,36.933,34.766,23.449,66.088,41.588,40.890,41.768,50.624,49.493,40.529,32.309,44.297,26.793,60.384,58.792,42.257,39.175,43.227,24.652,47.055,40.635,29.787,84.323
10/2024,52.269,52.154,67.928,61.725,75.331,54.541,44.241,37.325,34.858,38.762,39.999,42.066,62.181,85.232,57.102,48.161,45.679,36.286,48.017,27.061,61.370,75.571,39.857,36.178,46.861,29.273,43.214,35.355,33.411,55.445
11/2024,42.946,40.750,51.587,49.828,55.420,46.058,36.133,33.488,34.190,25.046,30.381,38.420,48.044,56.555,44.421,42.454,42.291,37.449,39.551,23.560,39.361,45.425,36.816,31.580,40.733,28.347,38.341,33.165,33.952,40.000
12/2024,36.534,32.140,47.485,40.464,42.319,40.826,32.288,28.685,28.148,21.107,27.776,29.971,34.725,38.555,31.562,37.746,34.063,31.154,34.518,21.626,29.175,36.745,32.520,29.475,37.775,22.897,35.708,31.431,27.742,33.879
