segdesc   = GLDA3L_F
2021-12-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
11/2023,295.784,518.751,428.356,500.320,513.214,622.225,567.045,341.304,349.573,300.128,268.953,307.012,585.818,555.191,566.073,433.762,397.361,415.888,416.497,558.613,253.192,437.223,447.931,348.092,396.027,445.130,324.038,408.838,336.394,392.039
12/2023,265.256,420.179,344.390,484.243,512.354,481.737,463.107,321.850,270.500,285.189,213.957,294.742,366.460,419.455,405.317,383.195,386.178,365.339,392.237,472.652,251.311,306.337,371.399,299.502,359.755,421.112,263.888,426.395,319.500,300.714
1/2024,370.559,378.861,333.125,412.042,448.751,428.207,370.851,310.398,256.891,251.550,190.214,262.477,533.712,385.358,340.676,300.568,366.998,325.401,364.491,435.822,231.683,242.820,336.479,279.465,401.486,367.712,251.450,370.334,323.502,264.859
2/2024,459.952,344.195,359.598,422.019,400.131,407.276,355.312,342.430,244.130,206.489,228.608,238.040,510.961,324.238,344.208,282.836,360.289,356.673,305.264,384.105,251.602,242.888,427.790,318.492,515.590,349.630,259.744,328.045,255.805,233.379
3/2024,508.817,555.101,930.406,548.595,753.377,501.403,456.284,417.966,408.192,221.949,358.351,557.746,665.309,399.232,770.655,352.791,564.071,466.615,439.641,528.195,300.257,392.000,626.199,482.243,1159.811,380.005,477.372,469.773,369.619,440.049
4/2024,1247.682,860.890,845.542,969.187,1360.652,1024.075,632.839,721.682,695.926,408.259,502.000,1332.182,1336.876,996.388,1069.255,600.855,710.941,662.464,1055.040,1127.178,293.882,580.264,663.895,699.018,1837.171,417.864,1109.677,545.755,427.974,496.994
5/2024,3163.865,2028.070,2325.496,2952.637,3906.660,2582.717,2102.964,1975.149,2192.065,287.949,1353.555,1738.416,2897.046,2334.301,2040.608,2088.883,2689.994,951.502,2280.643,1326.417,685.535,1580.147,1393.724,1957.646,2390.290,1249.116,2369.482,1528.720,823.427,1579.606
6/2024,4460.544,1662.335,4979.394,2902.154,4923.740,2518.913,3334.864,1371.645,1546.951,347.371,2145.757,1006.744,3531.749,1996.150,1149.466,3719.150,2583.994,2580.089,5078.819,381.299,1189.297,2974.847,2219.039,2528.221,3239.839,930.868,3734.867,1766.418,1133.403,3051.031
7/2024,2008.294,346.946,3950.860,1204.784,1778.118,1529.511,1878.088,253.986,343.403,27.663,518.368,417.923,1496.823,500.268,320.247,1900.168,1555.119,891.431,3690.158,103.115,287.279,1064.982,801.263,748.389,1166.708,271.866,2266.759,474.827,344.530,2222.012
8/2024,711.354,189.400,1072.948,368.349,867.036,573.912,768.930,153.020,248.574,53.163,212.855,202.575,510.237,304.652,281.264,573.996,458.641,408.817,872.797,145.951,213.915,432.816,272.764,337.110,493.332,149.211,586.135,213.322,172.481,874.120
9/2024,602.127,277.995,529.291,344.140,734.667,389.479,499.428,210.594,196.630,180.638,378.554,303.358,359.442,323.307,315.692,400.354,278.604,257.548,506.432,154.437,429.218,401.562,227.475,331.957,326.416,135.169,347.076,205.299,204.744,629.601
10/2024,514.463,403.944,559.785,491.365,877.133,464.591,348.322,348.873,207.878,275.051,263.740,456.182,560.897,1054.162,468.095,362.854,325.590,384.841,563.477,205.366,523.009,602.264,324.330,390.326,480.216,302.964,344.711,255.894,389.753,638.205
11/2024,527.137,444.973,513.824,528.521,623.019,596.215,362.028,357.953,302.094,281.690,310.964,582.763,553.632,592.512,438.078,413.566,417.439,427.373,555.723,277.392,451.989,443.267,357.719,401.721,450.408,335.660,418.880,343.818,408.015,521.013
12/2024,432.728,359.443,496.363,520.078,487.985,489.294,341.991,282.160,284.230,225.839,298.650,364.501,424.217,428.406,393.722,393.694,367.407,401.793,474.524,273.729,319.494,366.144,310.550,365.509,425.804,274.434,434.169,326.747,316.687,445.205
1/2025,392.636,347.424,424.892,462.450,437.143,393.870,333.440,269.321,252.044,201.268,264.035,543.839,392.850,362.273,312.216,382.315,330.162,373.618,439.229,259.322,259.338,331.706,291.617,406.659,373.691,261.798,378.164,329.416,282.082,377.732
2/2025,342.586,356.052,421.860,394.787,402.968,363.987,347.914,246.642,200.504,227.622,233.782,489.256,318.427,350.476,284.187,357.415,349.403,302.175,374.801,254.360,250.027,406.476,319.475,506.626,344.577,259.410,323.907,253.395,240.463,343.747
3/2025,568.086,941.110,562.895,770.354,511.274,468.081,438.889,422.390,223.410,365.430,561.999,662.146,406.059,767.735,364.973,577.085,473.049,442.838,532.716,320.149,408.078,613.851,494.125,1163.721,387.685,475.769,479.927,376.598,459.073,658.793
4/2025,875.839,849.663,984.857,1380.439,1031.380,628.213,749.406,716.630,411.076,500.887,1333.997,1335.974,1006.815,1098.647,617.334,726.150,672.403,1015.935,1128.214,316.875,603.271,658.723,716.923,1844.972,427.412,1062.831,556.729,438.066,516.731,662.157
5/2025,2039.297,2237.468,2961.685,3925.668,2587.384,2020.632,1992.412,2209.943,288.765,1262.525,1742.268,2899.462,2340.904,2013.524,2103.261,2704.510,952.983,2191.094,1327.451,706.840,1601.933,1325.871,1974.406,2398.659,1252.438,2346.314,1537.125,832.221,1601.205,1840.863
6/2025,1666.159,4911.634,2905.358,4925.200,2519.796,3345.282,1380.513,1551.078,345.108,2218.577,1006.143,3527.592,1996.695,1176.154,3727.029,2588.860,2573.187,5019.208,380.830,1197.385,2989.184,2197.269,2535.615,3243.177,930.463,3680.880,1769.555,1136.055,3065.363,5677.684
7/2025,347.191,4050.614,1204.714,1776.031,1526.036,1966.818,257.584,343.231,24.232,547.865,415.064,1492.169,498.208,347.647,1898.927,1554.932,886.086,3804.387,100.715,290.540,1065.912,838.597,748.560,1163.495,270.431,2352.216,473.686,342.918,2226.532,3439.595
8/2025,191.127,1112.876,370.737,867.505,573.918,795.084,157.419,249.851,51.673,217.834,201.337,507.482,304.700,288.932,574.916,460.199,407.588,912.244,145.107,218.628,434.849,274.126,338.898,492.142,149.636,608.276,213.650,173.432,877.352,1032.010
9/2025,281.274,547.119,348.426,736.853,391.025,514.292,216.730,198.870,180.111,380.830,542.473,358.073,324.644,317.418,402.651,281.491,258.091,512.674,155.231,436.533,406.228,228.285,334.765,326.583,136.801,351.157,206.985,206.217,634.679,525.299
10/2025,408.043,565.232,495.463,879.360,466.792,360.702,355.580,210.582,274.165,270.537,456.457,559.631,1055.647,480.971,365.269,328.564,384.484,561.024,205.710,530.566,607.520,319.169,393.309,480.310,304.721,348.168,257.598,391.343,643.887,573.992
11/2025,449.804,520.278,533.925,625.444,599.283,370.161,365.791,305.471,281.655,314.533,583.278,552.856,594.437,455.465,416.410,421.098,427.897,565.805,278.352,459.750,448.401,359.305,404.415,450.887,338.107,420.822,346.172,410.403,526.946,542.181
