segdesc   = GJNC2L_F
2023-03-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
3/2025,61.196,63.108,79.348,65.503,63.767,62.665,58.956,42.459,41.219,32.013,38.371,64.990,51.562,40.726,106.182,42.379,60.789,32.723,54.034,55.273,32.876,42.335,58.126,39.775,69.450,29.366,36.852,41.330,36.977,49.038
4/2025,143.179,117.882,103.729,125.813,138.248,104.546,98.254,79.882,66.117,50.334,73.962,151.623,189.315,161.785,176.598,57.540,99.083,66.905,175.236,110.311,42.144,84.944,61.306,86.247,130.859,37.588,112.923,55.126,49.434,139.416
5/2025,537.404,211.659,363.133,198.937,366.574,287.112,193.975,135.255,181.342,45.147,187.225,182.427,395.561,197.292,172.798,330.614,295.908,167.966,301.440,93.520,119.308,215.634,136.199,207.732,185.757,72.122,353.252,115.738,106.292,206.451
6/2025,336.615,92.180,403.590,82.899,272.726,159.226,151.494,29.936,59.894,0.210,92.040,43.210,223.563,69.507,47.399,311.983,136.659,167.098,308.390,4.675,69.443,152.168,106.877,122.751,150.453,-3.483,292.938,52.628,116.534,85.904
7/2025,86.945,-8.944,194.326,-9.036,34.361,33.426,40.252,-22.750,-16.639,-21.465,-10.846,-15.649,29.874,-10.983,-15.340,63.799,26.652,2.998,83.450,-14.087,-6.350,15.750,6.326,9.261,6.569,-20.249,73.835,-17.312,13.905,-3.409
8/2025,17.718,-4.149,33.683,-7.440,16.448,-0.550,27.711,-8.897,-6.030,-6.768,-7.726,-4.717,5.596,-3.337,-4.645,18.590,2.292,11.227,6.551,-5.136,6.404,19.053,4.949,8.584,8.532,2.292,16.948,-3.334,-7.988,1.265
9/2025,41.863,22.680,45.485,27.214,52.157,22.590,34.460,19.996,21.332,13.293,31.794,39.391,31.403,35.807,54.757,39.038,30.446,25.208,36.618,18.722,42.858,54.256,30.281,31.676,31.623,23.694,30.017,25.780,15.435,26.013
10/2025,79.531,57.792,77.539,72.666,96.944,61.824,48.851,54.230,46.860,42.878,44.428,63.951,80.355,128.057,93.904,64.793,61.174,57.284,68.018,39.179,77.238,89.370,61.409,65.338,71.276,51.710,73.605,43.303,47.008,51.666
11/2025,64.887,56.555,64.022,66.274,70.088,57.067,48.088,45.536,45.551,44.750,44.695,61.671,65.753,76.085,63.004,53.479,52.064,54.858,56.183,41.686,56.423,54.904,48.642,47.227,50.159,43.550,51.444,48.470,51.199,60.343
12/2025,49.215,45.413,51.647,53.340,51.917,50.721,39.431,36.893,38.020,34.733,40.191,46.238,49.462,51.656,54.113,46.002,41.995,59.577,45.795,36.719,41.872,44.330,40.624,46.165,41.038,32.932,46.779,39.969,42.846,44.272
1/2026,40.406,38.577,40.506,42.337,44.516,41.159,36.787,29.253,30.102,26.815,32.721,60.305,42.922,41.564,40.408,39.536,34.038,47.464,38.954,29.964,32.493,37.312,33.327,45.500,32.517,27.900,37.931,29.960,32.749,41.808
2/2026,34.399,37.574,54.413,33.671,35.434,36.168,35.673,25.182,23.082,23.638,26.283,40.366,32.205,38.816,33.443,37.438,27.438,33.358,32.924,29.581,34.332,39.441,32.316,44.508,28.669,23.877,30.729,26.564,27.972,36.485
3/2026,62.863,80.721,65.168,62.832,62.626,57.503,41.875,39.698,30.949,35.645,62.497,50.243,40.659,105.298,41.311,60.478,33.336,52.568,54.789,32.553,41.375,55.346,38.972,67.365,28.967,36.384,40.340,36.506,47.506,56.839
4/2026,117.514,101.139,125.185,136.945,104.268,95.049,78.926,63.407,48.550,69.398,147.992,186.118,161.404,174.484,55.946,98.525,67.600,169.665,109.629,41.596,83.353,60.057,84.865,128.510,37.127,106.145,53.884,48.937,135.947,133.271
5/2026,211.230,357.528,198.556,365.002,286.284,192.877,134.586,178.651,44.140,175.425,179.731,392.148,197.001,173.610,326.799,295.026,168.499,289.605,93.048,118.691,213.289,131.882,205.416,183.885,71.795,350.687,114.868,105.680,203.946,519.976
6/2026,92.008,404.684,82.701,272.191,159.162,153.961,29.613,58.974,-0.414,100.382,42.239,222.766,69.415,49.365,310.507,136.546,167.425,314.184,4.428,69.207,151.464,106.776,122.067,149.700,-3.692,293.252,52.105,116.180,85.120,347.256
7/2026,-9.061,203.055,-9.176,34.035,33.428,43.455,-22.955,-17.084,-21.873,-10.308,-16.220,29.458,-11.067,-14.158,63.216,26.643,3.272,89.289,-14.238,-6.488,15.468,7.425,8.884,6.137,-20.387,79.962,-17.661,13.664,-3.756,92.513
8/2026,-4.236,36.306,-7.546,16.155,-0.517,29.128,-9.067,-6.509,-7.090,-8.059,-5.210,5.420,-3.376,-4.413,18.156,2.309,11.550,7.380,-5.275,6.315,18.844,4.813,8.296,8.215,2.170,18.542,-3.612,-8.167,1.170,17.859
9/2026,22.590,43.323,27.084,51.911,22.682,35.228,19.882,20.821,12.941,30.968,38.804,31.211,35.880,53.359,38.702,30.477,25.508,36.531,18.553,42.868,54.316,29.926,31.414,31.348,23.572,30.041,25.429,15.267,25.734,41.981
10/2026,57.690,81.258,72.534,96.687,61.910,48.814,54.024,46.351,42.390,44.370,63.330,80.133,128.129,94.583,64.535,61.158,57.548,67.934,39.014,77.105,89.168,61.121,65.058,70.942,51.506,73.046,42.919,46.822,51.345,79.704
11/2026,56.461,65.086,66.123,69.870,57.143,48.876,45.336,45.075,44.259,44.232,61.073,65.549,76.061,64.911,53.199,52.046,55.123,57.140,41.519,56.289,54.676,48.969,46.990,49.829,43.388,53.178,48.110,51.018,59.999,65.350
12/2026,45.319,52.229,53.199,51.708,50.784,39.532,36.701,37.558,34.281,39.694,45.741,49.268,51.625,54.318,45.717,41.978,59.861,45.922,36.557,41.744,44.108,40.294,45.904,40.718,32.785,47.059,39.622,42.679,43.971,49.242
1/2027,38.486,40.906,42.216,44.314,41.238,36.451,29.075,29.668,26.400,32.329,59.631,42.733,41.541,40.693,39.262,34.020,47.698,38.835,29.812,32.374,37.098,32.975,45.276,32.216,27.761,38.120,29.642,32.599,41.522,40.389
2/2027,37.488,53.861,33.571,35.261,36.219,35.763,25.025,22.713,23.264,25.433,39.931,32.048,38.788,33.139,37.184,27.422,33.599,32.789,29.449,34.225,39.237,31.749,44.290,28.396,23.755,30.876,26.278,27.842,36.244,34.117
3/2027,80.612,64.732,62.704,62.418,57.544,41.452,39.505,30.529,35.187,61.081,49.761,40.484,105.242,41.314,60.148,33.309,52.821,52.890,32.404,41.235,55.081,38.903,67.037,28.630,36.260,39.956,36.151,47.332,56.511,61.815
4/2027,101.017,124.070,136.757,104.018,95.046,74.757,63.090,47.932,68.682,142.641,185.008,161.046,174.414,55.632,98.031,67.507,169.936,107.579,41.426,83.152,59.821,81.292,128.119,36.794,105.817,52.362,48.579,135.697,132.602,115.126
5/2027,357.410,199.533,364.716,286.024,192.841,134.256,178.367,43.755,174.762,179.450,391.009,196.757,173.569,312.820,294.448,168.379,289.777,95.495,118.517,212.956,131.625,202.141,183.531,71.553,350.011,113.339,105.313,203.746,518.678,207.961
6/2027,404.629,82.813,272.106,159.034,153.997,33.504,58.868,-0.638,100.089,44.648,222.479,69.288,49.348,318.443,136.340,167.400,314.313,5.349,69.117,151.358,106.633,123.838,149.534,-3.881,293.058,54.636,115.967,85.021,346.985,96.265
7/2027,203.055,-6.858,33.979,33.329,43.506,-22.600,-17.168,-22.081,-10.475,-15.529,29.299,-11.163,-14.185,68.626,26.485,3.275,89.471,-14.394,-6.562,15.439,7.313,10.502,6.029,-20.534,79.938,-16.896,13.505,-3.797,92.438,-7.966
8/2027,36.279,-7.415,16.116,-0.606,29.316,-9.269,-6.530,-7.226,-8.178,-5.363,5.339,-3.456,-4.415,19.173,2.172,11.581,7.708,-5.070,6.257,18.817,4.720,7.879,8.134,2.031,18.549,-3.662,-8.287,1.152,17.850,-4.052
9/2027,43.296,26.743,51.889,22.599,35.301,19.712,20.789,12.748,30.824,37.375,31.130,35.858,53.391,38.680,30.354,25.533,36.786,18.284,42.811,54.376,29.853,31.317,31.276,23.443,30.039,25.325,15.145,25.689,41.948,22.664
10/2027,81.231,71.658,96.638,61.828,48.831,54.110,46.284,42.169,44.210,64.189,80.043,128.085,94.569,64.797,61.036,57.556,68.066,39.503,77.029,89.143,61.020,65.040,70.863,51.327,73.035,43.349,46.690,51.289,79.663,57.376
11/2027,65.049,67.456,69.826,57.063,48.885,46.073,45.006,44.049,44.087,61.612,65.467,75.987,64.895,53.920,51.935,55.126,57.240,41.460,56.223,54.630,48.872,47.978,49.752,43.241,53.168,48.485,50.881,59.943,65.314,57.174
12/2027,52.193,53.912,51.666,50.708,39.539,36.786,37.489,34.086,39.550,45.628,49.190,51.552,54.301,45.878,41.871,59.850,46.013,36.584,41.682,44.063,40.199,45.453,40.642,32.649,47.046,39.966,42.552,43.918,49.208,45.458
1/2028,40.871,42.418,44.272,41.167,36.457,29.140,29.603,26.221,32.199,59.437,42.656,41.476,40.680,39.069,33.917,47.694,38.921,29.367,32.315,37.054,32.887,45.187,32.145,27.631,38.110,29.799,32.485,41.472,40.357,38.399
2/2028,56.055,34.896,36.445,37.381,36.980,25.763,23.438,23.859,26.554,41.379,33.065,40.016,34.617,38.515,28.217,34.868,34.000,30.598,35.529,40.371,32.875,45.267,29.190,24.361,31.852,27.032,28.708,37.476,35.389,38.644
