segdesc   = BMDC2L_F
2023-12-01
DATE,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
12/2025,21.201,29.604,25.145,39.026,32.085,33.580,29.975,25.732,22.060,22.991,15.977,22.126,22.827,27.776,28.352,23.547,29.201,27.419,24.413,27.465,16.602,23.165,29.643,25.436,23.078,30.811,18.344,28.752,29.287,23.904
1/2026,19.812,26.892,22.805,33.281,27.528,29.753,26.089,25.561,20.439,20.084,15.423,19.989,21.816,24.034,24.188,19.759,26.622,24.421,22.348,25.899,15.379,20.300,26.098,23.458,21.204,26.676,16.834,26.206,23.686,21.457
2/2026,17.999,22.487,24.647,31.830,22.570,25.406,24.647,25.018,19.239,16.920,17.476,17.188,19.267,19.641,22.321,16.085,23.103,20.194,18.752,21.617,13.402,19.750,29.541,21.564,25.144,26.992,14.379,22.721,21.780,19.527
3/2026,31.106,39.444,45.139,41.032,43.125,41.138,35.482,30.512,28.752,21.297,27.785,43.927,24.801,27.833,52.363,17.213,40.826,23.554,30.479,37.517,20.192,26.278,50.648,36.313,56.295,29.087,19.922,34.459,28.086,31.063
4/2026,65.364,71.792,58.302,94.907,76.960,59.776,49.063,83.404,58.216,53.309,50.287,92.056,60.060,86.018,87.667,46.299,60.434,52.558,63.829,81.073,37.051,63.521,75.624,59.134,106.019,45.821,74.251,49.372,50.194,65.215
5/2026,262.729,203.168,238.902,353.445,309.099,185.306,201.962,238.979,235.839,91.825,163.842,220.379,249.404,227.477,219.157,230.060,292.065,112.922,144.925,140.817,100.628,222.201,158.581,156.891,237.281,159.255,176.596,178.436,121.062,202.035
6/2026,407.093,214.105,571.039,305.686,479.705,207.081,318.693,148.661,184.726,57.241,201.755,135.322,278.666,181.212,160.329,467.340,254.104,259.858,416.941,52.428,148.198,326.796,341.676,280.920,381.433,74.562,399.817,187.440,261.660,160.527
7/2026,184.760,65.093,423.070,108.677,169.246,99.300,207.067,49.522,57.343,24.183,55.235,52.522,111.566,69.542,61.815,206.793,131.342,70.308,217.806,27.459,54.940,100.560,114.382,89.977,129.207,32.143,247.658,58.348,120.029,65.346
8/2026,68.380,42.269,122.921,53.494,82.003,50.597,86.094,44.073,51.534,21.231,41.358,36.931,57.657,49.197,45.576,77.086,53.851,49.546,68.767,28.263,39.569,56.309,52.980,52.461,63.325,26.756,80.320,38.918,55.367,52.639
9/2026,48.199,33.588,63.658,38.836,54.971,32.415,46.178,32.571,30.176,20.354,54.195,32.688,36.820,36.165,39.697,43.493,35.743,28.673,39.320,23.142,52.387,50.200,38.208,34.208,38.275,21.618,42.318,36.299,33.630,38.673
10/2026,43.958,39.699,57.503,45.683,55.784,41.286,37.303,28.941,28.672,28.484,32.827,30.727,48.918,57.543,39.516,39.542,37.462,29.449,38.295,22.324,47.734,58.411,32.947,29.923,39.468,23.995,36.684,34.637,28.472,28.088
11/2026,35.655,31.211,43.543,39.113,42.506,34.364,29.826,25.402,28.267,18.827,24.560,27.803,37.718,41.477,32.338,33.684,33.224,29.693,31.488,18.594,30.763,36.766,29.533,25.774,33.356,22.452,31.558,36.670,26.846,23.936
12/2026,30.091,25.620,39.562,32.562,34.056,31.209,26.363,22.353,22.799,16.206,22.054,22.832,27.946,28.944,23.697,29.655,27.208,24.849,27.480,16.785,23.336,29.310,25.979,23.547,30.879,18.268,28.924,29.197,24.320,21.369
1/2027,27.335,23.187,33.752,27.945,30.192,26.967,26.154,20.710,19.912,15.453,19.924,21.814,24.189,24.547,19.894,27.040,24.228,22.801,25.912,15.544,20.454,25.643,23.952,21.632,26.737,16.766,26.363,23.605,21.837,19.948
2/2027,22.851,24.584,32.231,22.911,25.772,25.343,25.530,19.479,16.778,17.643,17.134,19.261,19.770,22.509,16.196,23.454,20.036,19.013,21.627,13.538,19.889,29.066,21.982,25.532,27.042,14.318,22.854,21.711,19.852,18.066
3/2027,39.865,45.495,41.483,43.602,41.587,35.728,31.071,29.037,21.146,27.495,43.859,24.785,27.984,52.135,17.323,41.251,23.395,30.487,37.532,20.331,26.432,48.314,36.820,56.889,29.135,19.322,34.631,28.022,31.465,29.747
4/2027,72.385,54.885,95.595,77.534,60.308,47.951,84.324,58.602,53.118,48.849,91.993,60.014,86.265,83.839,46.392,60.922,52.373,62.919,81.068,37.203,63.734,75.875,59.844,106.735,45.892,69.143,49.550,50.132,65.731,63.158
